benua,negara,Nama,2017,2018,2019,2020,2021,2022
Amerika,Negara Lainnya,Other,12689.3,104409.6,25319.8,123102.7,699994.4,957949.4
Australia,Australia / Australia,Australia,513865.5,597437.8,348265.8,348553.3,195195.5,524408.5
Australia,Selandia Baru / New Zealand,New Zealand,15131.7,9280.9,3242.5,13387.9,8181.6,3700.1
Australia,Marshall Island / Marshall Islands,Marshall Islands,3079.3,386520.3,154636.9,19578.7,7427.6,1154.8
Australia,Samoa Barat / Western Samoa,Western Samoa,3739.8,13631.1,7131.6,7083.5,7896.2,73423.9
Australia,Cook Islands /,Cook Islands,1684.4,3901.9,6449.3,1127,749.7,19391.1
Australia,Fiji /,Fiji,100,0,0,0,0,0
Australia,Papua Nugini /,Papua New Guinea,0,0,0,0,0,0
Australia,Vanuatu / Vanuatu,Vanuatu,0,0,190.7,0,0,0
Afrika,Mauritius / Mauritius,Mauritius,1056593,267861,85384.1,112320.8,106483.3,277439.3
Afrika,Seychelles / Seychelles,Seychelles,218268.4,95348.2,228566.6,67234.8,52224.2,76321.9
Afrika,Mauritania / Mauritania,Mauritania,3539,0,11477.5,0,481.7,189.3
Afrika,Afrika Selatan / South Africa,South Africa,4291.6,5369.4,400.4,78.3,1459,451.5
Afrika,Guinea / Guinea,Guinea,1500,0,0,0,0,0
Afrika,Negara Lainnya,Other,4544.9,5358.1,1031,516.3,979.2,3630.6
