kode_hs,Uraian,2018,2019,2020,2021,2022
5,TIMAH HITAM,170.7,164.7,81.2,137,104.4
49,"LAK, GETAH, DAN DAMAR",90.3,85.5,80.7,92.6,101.3
91,BAHAN PELEDAK,112,91.5,84.6,97.6,98.1
86,LOGAM DASAR LAINNYA,145.8,88.8,94,106.2,84.7
6,NIKEL,129.9,112.9,90.4,108.1,79.5
99,DAGING DAN IKAN OLAHAN,47.3,54.8,52.2,65.5,72.6
2,BARANG-BARANG FOTOGRAFI/SINEMATOGRAFI,87.3,74.2,48.4,64.9,70.6
78,BULU UNGGAS,87.2,98.5,86.3,71.1,57.5
53,TUTUP KEPALA,34.1,39.4,35.4,35,45.8
36,TIMAH,16.6,15.2,12.5,19.9,36.2
97,PAYUNG,35.7,21.5,19.2,22.3,26.8
93,PERMADANI,75.7,83.1,10.2,8.7,14.2
66,"POHON HIDUP, DAN BUNGA POTONG",7.2,9.3,8,12.1,11.9
37,GABUS DAN BARANG-BARANG GABUS,7,5.8,5.9,7.7,11.3
43,KULIT BERBULU,11,9.9,2.5,6.1,5.8
51,HASIL KARYA SENI,2.5,6.5,1.8,1.5,4.3
50,SUTERA,5.8,2.8,3.5,2.6,3
45,BAHAN-BAHAN NABATI,1.6,2.1,1.5,2.1,3
98,JERAMI/BAHAN ANYAMAN,1.6,0.8,0.7,0.6,1
